Jeux,Instant_gaming,Lien Instant_gaming,Eneba,Lien Eneba,Cd_keys,Lien Cd_keys,Goclecd,Lien Goclecd,Gamersgate,Lien Gamersgate
Mario Kart 8 ,18.89€,https://www.instant-gaming.com/fr/rechercher/?q=Mario+Kart+8+,"51,00 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Mario%20Kart%208%20&types[]=game,"20,09 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Mario%20Kart%208,"15,62€",https://www.goclecd.fr/catalogue/search-Mario+Kart+8+/,Pas trouvé,https://www.gamersgate.com/games/?query=Mario+Kart+8+
Call of Duty: Vanguard ,34.99€,https://www.instant-gaming.com/fr/rechercher/?q=Call+of+Duty%3A+Vanguard+,"49,08 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Call%20of%20Duty%3A%20Vanguard%20&types[]=game,"35,29 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Call%20of%20Duty%3A%20Vanguard,"29,99€",https://www.goclecd.fr/catalogue/search-Call+of+Duty%3A+Vanguard+/,Pas trouvé,https://www.gamersgate.com/games/?query=Call+of+Duty%3A+Vanguard+
Gran Turismo 7 ,39.99€,https://www.instant-gaming.com/fr/rechercher/?q=Gran+Turismo+7+,Pas trouvé,https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Gran%20Turismo%207%20&types[]=game,Pas trouvé,https://www.cdkeys.com/fr_fr/psn/gran-turismo-7-25th-anniversary-edition-ps4-eu,"39,78€",https://www.goclecd.fr/catalogue/search-Gran+Turismo+7+/,Pas trouvé,https://www.gamersgate.com/games/?query=Gran+Turismo+7+
Kirby and the Forgotten Land ,56.39€,https://www.instant-gaming.com/fr/rechercher/?q=Kirby+and+the+Forgotten+Land+,Pas trouvé,https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Kirby%20and%20the%20Forgotten%20Land%20&types[]=game,"26,19 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Kirby%20and%20the%20Forgotten%20Land,"45,00€",https://www.goclecd.fr/catalogue/search-Kirby+and+the+Forgotten+Land+/,Pas trouvé,https://www.gamersgate.com/games/?query=Kirby+and+the+Forgotten+Land+
NBA 2K23 ,14.39€,https://www.instant-gaming.com/fr/rechercher/?q=NBA+2K23+,"15,75 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=NBA%202K23%20&types[]=game,"15,39 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=NBA%202K23,"12,47€",https://www.goclecd.fr/catalogue/search-NBA+2K23+/,€ 59.99,https://www.gamersgate.com/games/?query=NBA+2K23+
Sonic Frontiers ,35.99€,https://www.instant-gaming.com/fr/rechercher/?q=Sonic+Frontiers+,"34,12 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Sonic%20Frontiers%20&types[]=game,,https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Sonic%20Frontiers,"31,39€",https://www.goclecd.fr/catalogue/search-Sonic+Frontiers+/,Pas trouvé,https://www.gamersgate.com/games/?query=Sonic+Frontiers+
Gotham Knights ,33.99€,https://www.instant-gaming.com/fr/rechercher/?q=Gotham+Knights+,"27,30 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Gotham%20Knights%20&types[]=game,"22,79 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Gotham%20Knights,Pas trouvé,https://www.goclecd.fr/catalogue/search-Gotham+Knights+/,€ 79.99,https://www.gamersgate.com/games/?query=Gotham+Knights+
Minecraft ,23.49€,https://www.instant-gaming.com/fr/rechercher/?q=Minecraft+,"12,90 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Minecraft%20&types[]=game,"22,79 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Minecraft,"14,71€",https://www.goclecd.fr/catalogue/search-Minecraft+/,Pas trouvé,https://www.gamersgate.com/games/?query=Minecraft+
Nintendo Switch Sports ,37.99€,https://www.instant-gaming.com/fr/rechercher/?q=Nintendo+Switch+Sports+,"8,88 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Nintendo%20Switch%20Sports%20&types[]=game,"6,79 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Nintendo%20Switch%20Sports,Pas trouvé,https://www.goclecd.fr/catalogue/,Pas trouvé,https://www.gamersgate.com/games/?query=Nintendo+Switch+Sports+
Super Smash Bros. Ultimate ,24.29€,https://www.instant-gaming.com/fr/rechercher/?q=Super+Smash+Bros.+Ultimate+,Pas trouvé,https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Super%20Smash%20Bros.%20Ultimate%20&types[]=game,"4,59 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Super%20Smash%20Bros.%20Ultimate,"53,89€",https://www.goclecd.fr/catalogue/search-Super+Smash+Bros.+Ultimate+,Pas trouvé,https://www.gamersgate.com/games/?query=Super+Smash+Bros.+Ultimate+
FIFA 22,16.79€,https://www.instant-gaming.com/fr/rechercher/?q=FIFA+22,"45,43 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=FIFA%2022&types[]=game,"33,09 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=FIFA%2022,Pas trouvé,https://www.goclecd.fr/catalogue/,Pas trouvé,https://www.gamersgate.com/games/?query=FIFA+22
Call Of Duty: Vanguard,34.99€,https://www.instant-gaming.com/fr/rechercher/?q=Call+Of+Duty%3A+Vanguard,"49,08 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Call%20Of%20Duty%3A%20Vanguard&types[]=game,"35,29 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Call%20Of%20Duty%3A%20Vanguard,Pas trouvé,https://www.goclecd.fr/catalogue/search-Call+Of+Duty%3A+Vanguard/,Pas trouvé,https://www.gamersgate.com/games/?query=Call+Of+Duty%3A+Vanguard
Gand Theft Auto V,10.89€,https://www.instant-gaming.com/fr/rechercher/?q=Gand+Theft+Auto+V,"8,99 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Gand%20Theft%20Auto%20V&types[]=game,"9,09 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Gand%20Theft%20Auto%20V,Pas trouvé,https://www.goclecd.fr/catalogue/search-Gand+Theft+Auto+V/,€ 29.98,https://www.gamersgate.com/games/?query=Gand+Theft+Auto+V
FIFA 21,10.79€,https://www.instant-gaming.com/fr/rechercher/?q=FIFA+21,"11,17 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=FIFA%2021&types[]=game,"33,09 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=FIFA%2021,"9,71€",https://www.goclecd.fr/catalogue/search-FIFA+21/,Pas trouvé,https://www.gamersgate.com/games/?query=FIFA+21
Mario Kart 8 Deluxe,18.89€,https://www.instant-gaming.com/fr/rechercher/?q=Mario+Kart+8+Deluxe,"51,00 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Mario%20Kart%208%20Deluxe&types[]=game,"20,09 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Mario%20Kart%208%20Deluxe,Pas trouvé,https://www.goclecd.fr/catalogue/,Pas trouvé,https://www.gamersgate.com/games/?query=Mario+Kart+8+Deluxe
Call of Duty: Black Ops Cold War,21.15€,https://www.instant-gaming.com/fr/rechercher/?q=Call+of+Duty%3A+Black+Ops+Cold+War,"19,00 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Call%20of%20Duty%3A%20Black%20Ops%20Cold%20War&types[]=game,,https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Call%20of%20Duty%3A%20Black%20Ops%20Cold%20War,Pas trouvé,https://www.goclecd.fr/catalogue/search-Call+of+Duty%3A+Black+Ops+Cold+War/,Pas trouvé,https://www.gamersgate.com/games/?query=Call+of+Duty%3A+Black+Ops+Cold+War
Spider-Man: Miles Morales,21.64€,https://www.instant-gaming.com/fr/rechercher/?q=Spider-Man%3A+Miles+Morales,"24,88 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Spider-Man%3A%20Miles%20Morales&types[]=game,"21,69 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Spider-Man%3A%20Miles%20Morales,"19,41€",https://www.goclecd.fr/catalogue/search-Spider-Man%3A+Miles+Morales/,€ 49.99,https://www.gamersgate.com/games/?query=Spider-Man%3A+Miles+Morales
Animal Crossing: New Horizons,18.99€,https://www.instant-gaming.com/fr/rechercher/?q=Animal+Crossing%3A+New+Horizons,Pas trouvé,https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Animal%20Crossing%3A%20New%20Horizons&types[]=game,Pas trouvé,https://www.cdkeys.com/fr_fr/nintendo/switch/animal-crossing-new-horizons-switch,Pas trouvé,https://www.goclecd.fr/catalogue/,Pas trouvé,https://www.gamersgate.com/games/?query=Animal+Crossing%3A+New+Horizons
Minecraft,23.49€,https://www.instant-gaming.com/fr/rechercher/?q=Minecraft,"12,90 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Minecraft&types[]=game,"22,79 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Minecraft,Pas trouvé,https://www.goclecd.fr/catalogue/search-Minecraft/,Pas trouvé,https://www.gamersgate.com/games/?query=Minecraft
Red Dead Redemption 2,15.13€,https://www.instant-gaming.com/fr/rechercher/?q=Red+Dead+Redemption+2,"14,08 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Red%20Dead%20Redemption%202&types[]=game,"15,19 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Red%20Dead%20Redemption%202,"11,21€",https://www.goclecd.fr/catalogue/search-Red+Dead+Redemption+2/,€ 59.99,https://www.gamersgate.com/games/?query=Red+Dead+Redemption+2
F1 2021,37.53€,https://www.instant-gaming.com/fr/rechercher/?q=F1+2021,"61,30 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=F1%202021&types[]=game,"19,49 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=F1%202021,Pas trouvé,https://www.goclecd.fr/catalogue/,€ 54.99,https://www.gamersgate.com/games/?query=F1+2021
Far Cry 6,13.99€,https://www.instant-gaming.com/fr/rechercher/?q=Far+Cry+6,"23,56 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Far%20Cry%206&types[]=game,"15,99 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Far%20Cry%206,Pas trouvé,https://www.goclecd.fr/catalogue/search-Far+Cry+6/,€ 19.99,https://www.gamersgate.com/games/?query=Far+Cry+6
Assassin's Creed Valhalla,16.49€,https://www.instant-gaming.com/fr/rechercher/?q=Assassin%27s+Creed+Valhalla,"21,98 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Assassin%27s%20Creed%20Valhalla&types[]=game,"16,29 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Assassin%27s%20Creed%20Valhalla,"15,48€",https://www.goclecd.fr/catalogue/search-Assassin%27s+Creed+Valhalla/,Pas trouvé,https://www.gamersgate.com/games/?query=Assassin%27s+Creed+Valhalla
Resident Evil Village,13.89€,https://www.instant-gaming.com/fr/rechercher/?q=Resident+Evil+Village,"31,74 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Resident%20Evil%20Village&types[]=game,"47,89 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Resident%20Evil%20Village,Pas trouvé,https://www.goclecd.fr/catalogue/,€ 49.99,https://www.gamersgate.com/games/?query=Resident+Evil+Village
Super Mario 3D World + Bowser's Fury,56.20€,https://www.instant-gaming.com/fr/rechercher/?q=Super+Mario+3D+World+%2B+Bowser%27s+Fury,Pas trouvé,https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Super%20Mario%203D%20World%20%2B%20Bowser%27s%20Fury&types[]=game,"25,09 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Super%20Mario%203D%20World%20%2B%20Bowser%27s%20Fury,Pas trouvé,https://www.goclecd.fr/catalogue/search-Super+Mario+3D+World+++Bowser%27s+Fury/,Pas trouvé,https://www.gamersgate.com/games/?query=Super+Mario+3D+World+%2B+Bowser%27s+Fury
Battlefield 2042,22.11€,https://www.instant-gaming.com/fr/rechercher/?q=Battlefield+2042,"23,48 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Battlefield%202042&types[]=game,"27,09 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Battlefield%202042,"18,83€",https://www.goclecd.fr/catalogue/search-Battlefield+2042/,Pas trouvé,https://www.gamersgate.com/games/?query=Battlefield+2042
Tom Clancy's Rainbow Six Siege,8.79€,https://www.instant-gaming.com/fr/rechercher/?q=Tom+Clancy%27s+Rainbow+Six+Siege,"9,12 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Tom%20Clancy%27s%20Rainbow%20Six%20Siege&types[]=game,,https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Tom%20Clancy%27s%20Rainbow%20Six%20Siege,Pas trouvé,https://www.goclecd.fr/catalogue/,€ 29.99,https://www.gamersgate.com/games/?query=Tom+Clancy%27s+Rainbow+Six+Siege
Ratchet & Clank: Rift Apart,Pas trouvé,https://www.instant-gaming.com/fr/rechercher/?q=Ratchet+%26+Clank%3A+Rift+Apart,Pas trouvé,https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Ratchet%20%26%20Clank%3A%20Rift%20Apart&types[]=game,"5,09 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Ratchet%20%26%20Clank%3A%20Rift%20Apart,Pas trouvé,https://www.goclecd.fr/catalogue/search-Ratchet+%26+Clank%3A+Rift+Apart/,Pas trouvé,https://www.gamersgate.com/games/?query=Ratchet+%26+Clank%3A+Rift+Apart
Pokémon Billiant Diamond,56.20€,https://www.instant-gaming.com/fr/rechercher/?q=Pok%C3%A9mon+Billiant+Diamond,Pas trouvé,https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Pok%C3%A9mon%20Billiant%20Diamond&types[]=game,"22,59 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Pok%C3%A9mon%20Billiant%20Diamond,Pas trouvé,https://www.goclecd.fr/catalogue/search-Pok%C3%A9mon+Billiant+Diamond/,Pas trouvé,https://www.gamersgate.com/games/?query=Pok%C3%A9mon+Billiant+Diamond
Marvel's Guardians of the Galaxy,17.69€,https://www.instant-gaming.com/fr/rechercher/?q=Marvel%27s+Guardians+of+the+Galaxy,"20,13 €",https://www.eneba.com/fr/store/all?page=1&regions[]=emea&regions[]=europe&regions[]=france&regions[]=global&sortBy=RELEVANCE_DESC&text=Marvel%27s%20Guardians%20of%20the%20Galaxy&types[]=game,"42,19 €",https://www.cdkeys.com/fr_fr/catalogsearch/result/?q=Marvel%27s%20Guardians%20of%20the%20Galaxy,"17,59€",https://www.goclecd.fr/catalogue/search-Marvel%27s+Guardians+of+the+Galaxy/,Pas trouvé,https://www.gamersgate.com/games/?query=Marvel%27s+Guardians+of+the+Galaxy
